Year,Devotional,Romance,Comedy,Mythology,Horror,Thriller,Legend,Drama,Historical,Social,Action,CrimeTotal,Musical,Family,Fantasy,Costume,Total
1920,1,0,0,15,0,0,0,1,0,3,0,0,0,0,0,0,20
1921,8,0,1,24,0,0,1,0,0,3,0,0,0,0,0,0,37
1922,16,1,2,25,0,0,8,4,1,6,0,0,0,0,1,2,68
1923,12,0,0,21,0,0,3,5,4,4,0,0,0,0,1,1,55
1924,12,0,0,12,0,1,3,2,12,15,0,3,0,0,0,5,66
1925,5,0,0,8,0,0,3,1,14,26,0,2,0,0,7,12,78
1926,8,1,0,9,0,0,7,0,13,25,2,0,0,0,7,14,86
1927,14,3,0,6,0,0,2,1,6,32,3,0,0,0,5,15,87
1928,12,4,1,7,0,0,6,1,9,37,0,0,0,0,10,15,102
1929,10,4,1,3,0,1,5,0,11,37,24,0,0,0,10,26,133
1930,1,0,0,4,0,0,1,1,10,15,21,0,0,0,5,37,97
1931,1,4,1,7,0,0,4,4,4,8,7,0,0,0,2,9,51
1932,8,2,1,10,0,1,4,2,1,12,2,0,0,0,5,12,61
1933,11,4,2,8,0,0,5,4,2,12,2,0,0,0,6,21,78
1934,14,0,0,4,0,0,3,6,5,31,15,0,0,1,7,32,120
1935,6,2,1,1,0,0,3,11,1,58,26,1,0,2,8,36,158
1936,6,3,1,0,0,1,2,7,2,45,38,0,0,1,0,28,137
1937,3,2,1,1,0,2,2,9,0,39,37,0,1,4,1,12,116
1938,6,5,0,2,0,1,0,11,0,37,32,0,1,2,1,7,106
1939,2,2,1,0,0,2,0,5,2,36,35,0,0,1,2,3,94
1940,3,5,1,1,1,0,0,16,0,43,15,0,1,5,6,8,109
1941,2,1,3,0,0,0,1,14,2,40,11,0,0,6,2,5,89
1942,2,2,1,0,0,0,0,15,0,67,12,0,0,7,0,3,114
1943,7,4,2,0,0,1,0,15,2,62,11,0,1,4,2,1,114
1944,3,5,1,0,0,0,0,18,3,45,17,0,1,7,4,1,107
1945,3,5,0,3,0,0,2,20,5,44,2,0,0,6,1,5,97
1946,4,7,0,5,0,0,1,26,5,64,34,0,0,7,9,8,177
1947,8,13,1,2,0,4,2,29,2,97,28,0,0,12,4,5,210
1948,7,12,2,1,0,0,1,33,1,70,21,0,1,9,5,8,174
1949,4,17,3,4,0,4,2,27,0,55,20,2,0,19,1,3,161
1950,9,14,2,4,0,0,0,31,1,36,13,1,1,11,0,1,124
1951,12,19,0,3,0,2,0,36,0,32,10,4,0,10,0,6,136
1952,3,12,3,9,0,1,1,32,2,37,7,0,2,6,6,7,130
1953,3,7,3,1,0,0,1,37,3,33,8,1,1,17,4,12,133
1954,11,3,1,1,0,0,1,34,1,46,11,0,2,8,5,19,149
1955,7,5,8,2,0,2,1,33,0,46,11,2,1,7,8,23,158
1956,9,13,8,3,0,2,2,30,1,22,23,4,1,5,7,24,158
1957,12,11,5,1,0,8,2,23,2,35,16,3,1,11,16,7,155
1958,3,15,3,3,0,5,2,32,1,27,24,6,0,20,11,8,161
1959,4,9,5,2,0,6,0,32,2,38,22,3,3,27,1,3,160
1960,2,29,4,1,0,6,0,44,4,31,25,4,3,21,2,8,193
1961,0,20,5,5,0,2,0,38,2,6,13,6,1,20,3,3,126
1962,2,22,6,1,0,7,0,34,3,6,20,5,1,17,11,0,141
1963,1,25,3,2,0,4,1,37,2,5,16,4,0,16,13,4,139
1964,2,15,1,1,2,2,1,18,2,7,15,0,4,3,3,5,85
1965,1,0,1,0,0,1,0,0,1,1,0,0,5,0,0,0,10
1966,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,4
1967,1,0,0,0,0,2,0,2,0,3,0,1,2,0,0,0,11
1968,1,17,7,2,0,20,0,26,1,14,17,1,1,10,5,2,125
1969,0,4,0,0,0,3,0,2,0,3,2,0,0,1,0,0,15
1970,0,17,2,0,0,1,0,38,0,0,8,0,1,0,0,0,67
1971,2,19,6,1,0,4,0,52,0,1,1,0,0,2,0,0,88
1972,0,13,4,0,1,2,0,57,0,0,12,0,0,0,1,0,90
1973,0,13,3,0,0,5,0,33,0,0,15,2,0,0,1,0,72
1974,0,9,2,0,1,5,0,47,0,1,2,1,0,0,2,0,71
1975,0,6,0,0,0,0,0,6,0,0,3,0,0,0,0,0,15
1976,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,4
1977,0,3,0,0,0,0,0,8,0,0,1,0,0,1,0,0,13
1978,0,2,3,0,0,1,0,6,0,0,5,0,0,1,0,0,18
1979,1,24,5,1,4,1,0,29,0,0,10,1,0,3,1,0,80
1980,0,17,11,0,4,12,0,36,1,0,25,8,8,24,2,0,150
1981,0,8,7,0,1,3,0,22,0,0,7,1,0,3,0,0,52
1982,0,18,8,0,0,7,0,56,0,0,19,6,4,25,0,0,146
1983,0,16,13,0,0,3,0,42,0,0,22,8,3,15,1,0,124
1984,0,15,12,0,3,9,0,47,0,0,32,13,3,19,1,0,159
1985,0,17,12,0,2,11,0,38,1,0,24,14,5,16,4,0,149
1986,0,13,7,0,2,12,0,40,0,0,15,7,1,10,2,0,113
1987,0,10,4,0,2,7,0,37,0,1,24,14,6,8,3,0,121
1988,0,12,11,0,4,9,0,28,1,0,37,7,0,12,0,0,123
1989,0,4,2,0,0,1,0,2,0,0,2,0,0,0,0,0,11
1990,0,10,6,0,4,7,0,30,0,0,33,19,2,4,1,0,117
1991,0,23,5,0,5,4,0,38,0,1,37,13,0,5,1,0,135
1992,0,31,7,0,3,10,0,37,0,1,34,8,4,6,2,0,144
1993,0,30,6,0,1,9,0,38,0,0,26,16,1,6,0,0,135
1994,0,20,17,0,0,5,0,35,1,3,32,7,3,9,3,0,138
1995,0,20,6,0,0,3,0,28,0,0,21,11,5,6,1,0,102
1996,0,21,9,0,2,8,0,27,0,3,30,5,2,3,2,0,113
1997,0,16,8,0,0,3,0,16,0,3,19,5,2,2,0,0,74
1998,0,16,16,0,2,5,0,32,0,3,29,8,1,4,0,0,116
1999,0,20,11,0,4,3,0,32,0,0,27,6,1,3,0,0,107
2000,0,22,12,0,2,5,0,34,0,1,14,1,2,2,0,0,95
2001,0,20,8,0,1,8,0,26,1,1,8,2,2,4,0,0,81
2002,0,20,10,0,1,8,0,24,4,2,12,3,2,2,1,0,89
2003,0,20,8,0,3,15,0,28,0,1,6,0,0,2,1,0,84
2004,0,29,17,0,2,22,0,44,1,0,16,2,2,1,3,0,140
2005,0,24,23,0,2,24,0,45,3,0,7,5,0,2,2,0,137
2006,0,25,22,0,3,20,0,34,0,10,10,2,6,3,2,0,137
2007,0,23,25,0,2,17,0,32,0,4,9,2,3,1,0,0,118
2008,0,34,28,0,2,21,0,34,2,3,8,6,5,2,3,0,154
2009,0,24,34,0,2,12,0,23,1,8,14,1,4,1,3,0,128
2010,0,30,27,0,7,25,0,27,0,7,16,5,0,1,1,0,157
2011,0,26,40,0,3,14,0,23,0,10,13,3,0,2,0,0,140
2012,0,25,39,0,5,23,0,18,0,3,11,8,1,0,1,0,141
2013,0,29,32,0,2,27,0,25,1,1,18,10,2,1,0,0,154
2014,0,29,44,0,10,19,0,51,1,7,21,1,1,0,2,0,190
2015,1,21,33,0,3,20,0,46,1,2,11,5,1,0,0,0,147
